 X DISTANCE      Y DISTANCE    NUMBER OF NODES 
  100.00            90.00      100
 DEPOT X           DEPOT  Y	
   35.00              35.00    	
   NODE	ST 	X  	   Y        DEMAND       EAR       LAT        SERVICE 
    1    0      41         49         10          0        204         10
    2    1      35         17          7          0        202         10
    3    0      55         45         13          0        197         10
    4    0      55         20         19        149        159         10
    5    0      15         30         26          0        199         10
    6    0      25         30          3          0        208         10
    7    0      20         50          5          0        198         10
    8    1      10         43          9         95        105         10
    9    0      55         60         16         97        107         10
   10    1      30         60         16          0        194         10
   11    0      20         65         12         67         77         10
   12    1      50         35         19          0        205         10
   13    0      30         25         23        159        169         10
   14    0      15         10         20          0        187         10
   15    1      30          5          8         61         71         10
   16    1      10         20         19          0        190         10
   17    0       5         30          2          0        189         10
   18    1      20         40         12          0        204         10
   19    0      15         60         17          0        187         10
   20    0      45         65          9          0        188         10
   21    0      45         20         11          0        201         10
   22    0      45         10         18          0        193         10
   23    0      55          5         29         68         78         10
   24    0      65         35          3          0        190         10
   25    0      65         20          6        172        182         10
   26    0      45         30         17          0        208         10
   27    1      35         40         16          0        215         10
   28    0      41         37         16          0        213         10
   29    1      64         42          9          0        190         10
   30    0      40         60         21          0        194         10
   31    1      31         52         27          0        202         10
   32    1      35         69         23          0        186         10
   33    0      53         52         11          0        195         10
   34    0      65         55         14          0        183         10
   35    0      63         65          8          0        178         10
   36    0       2         60          5          0        178         10
   37    0      20         20          8          0        198         10
   38    0       5          5         16         83         93         10
   39    0      60         12         31          0        186         10
   40    1      40         25          9          0        208         10
   41    0      42          7          5          0        191         10
   42    0      24         12          5          0        194         10
   43    0      23          3          7          0        185         10
   44    1      11         14         18         69         79         10
   45    0       6         38         16          0        190         10
   46    0       2         48          1          0        184         10
   47    0       8         56         27          0        185         10
   48    1      13         52         36          0        192         10
   49    0       6         68         30          0        176         10
   50    1      47         47         13          0        203         10
   51    0      49         58         10          0        193         10
   52    0      27         43          9          0        208         10
   53    1      37         31         14         95        105         10
   54    1      57         29         18          0        197         10
   55    0      63         23          2        136        146         10
   56    0      53         12          6          0        190         10
   57    0      32         12          7          0        196         10
   58    0      36         26         18        200        210         10
   59    1      21         24         28          0        202         10
   60    0      17         34          3          0        201         10
   61    1      12         24         13          0        194         10
   62    0      24         58         19         58         68         10
   63    0      27         69         10          0        185         10
   64    0      15         77          9          0        173         10
   65    1      62         77         20          0        170         10
   66    0      49         73         25          0        179         10
   67    0      67          5         25         83         93         10
   68    0      56         39         36          0        198         10
   69    0      37         47          6         50         60         10
   70    0      37         56          5          0        198         10
   71    0      57         68         15          0        180         10
   72    1      47         16         25          0        197         10
   73    0      44         17          9          0        199         10
   74    1      46         13          8        149        159         10
   75    0      49         11         18          0        192         10
   76    1      49         42         13         73         83         10
   77    0      53         43         14        179        189         10
   78    0      61         52          3          0        188         10
   79    1      57         48         23         92        102         10
   80    0      56         37          6          0        198         10
   81    1      55         54         26          0        192         10
   82    0      15         47         16          0        196         10
   83    1      14         37         11          0        198         10
   84    1      11         31          7        101        111         10
   85    1      16         22         41          0        196         10
   86    0       4         18         35          0        184         10
   87    0      28         18         26         93        103         10
   88    0      26         52          9          0        200         10
   89    1      26         35         15          0        211         10
   90    0      31         67          3          0        187         10
   91    0      15         19          1          0        194         10
   92    1      22         22          2         18         28         10
   93    1      18         24         22          0        199         10
   94    0      26         27         27          0        207         10
   95    0      25         24         20          0        205         10
   96    1      22         27         11          0        204         10
   97    0      25         21         12          0        202         10
   98    0      19         21         10          0        198         10
   99    0      20         26          9         83         93         10
  100    0      18         18         17        185        195         10


