 X DISTANCE      Y DISTANCE    NUMBER OF NODES 
  100.00            90.00       100     
 DEPOT X           DEPOT  Y	
   35.00              35.00    	
   NODE	ST 	X  	   Y        DEMAND       EAR       LAT        SERVICE 
    1    0      41         49         10        151        181         10
    2    1      35         17          7         40         70         10
    3    0      55         45         13        106        136         10
    4    0      55         20         19        139        169         10
    5    0      15         30         26         24         54         10
    6    0      25         30          3         89        119         10
    7    0      20         50          5         71        101         10
    8    1      10         43          9         85        115         10
    9    0      55         60         16         87        117         10
   10    1      30         60         16        114        144         10
   11    0      20         65         12         57         87         10
   12    1      50         35         19         53         83         10
   13    0      30         25         23        149        179         10
   14    0      15         10         20         32         62         10
   15    1      30          5          8         51         81         10
   16    1      10         20         19         65         95         10
   17    0       5         30          2        147        177         10
   18    1      20         40         12         77        107         10
   19    0      15         60         17         66         96         10
   20    0      45         65          9        116        146         10
   21    0      45         20         11         52         82         10
   22    0      45         10         18         87        117         10
   23    0      55          5         29         58         88         10
   24    0      65         35          3        143        173         10
   25    0      65         20          6        156        186         10
   26    0      45         30         17        122        152         10
   27    1      35         40         16         27         57         10
   28    0      41         37         16         29         59         10
   29    1      64         42          9         53         83         10
   30    0      40         60         21         61         91         10
   31    1      31         52         27         40         70         10
   32    1      35         69         23        131        161         10
   33    0      53         52         11         27         57         10
   34    0      65         55         14        107        137         10
   35    0      63         65          8        133        163         10
   36    0       2         60          5         41         71         10
   37    0      20         20          8        124        154         10
   38    0       5          5         16         73        103         10
   39    0      60         12         31         34         64         10
   40    1      40         25          9         75        105         10
   41    0      42          7          5         87        117         10
   42    0      24         12          5         25         55         10
   43    0      23          3          7        122        152         10
   44    1      11         14         18         59         89         10
   45    0       6         38         16         29         59         10
   46    0       2         48          1        107        137         10
   47    0       8         56         27         41         71         10
   48    1      13         52         36        155        185         10
   49    0       6         68         30         98        128         10
   50    1      47         47         13        114        144         10
   51    0      49         58         10         78        108         10
   52    0      27         43          9         42         72         10
   53    1      37         31         14         85        115         10
   54    1      57         29         18        130        160         10
   55    0      63         23          2        126        156         10
   56    0      53         12          6        120        150         10
   57    0      32         12          7         91        121         10
   58    0      36         26         18        180        210         10
   59    1      21         24         28         17         47         10
   60    0      17         34          3        152        182         10
   61    1      12         24         13         66         96         10
   62    0      24         58         19         48         78         10
   63    0      27         69         10         34         64         10
   64    0      15         77          9         63         93         10
   65    1      62         77         20         49         79         10
   66    0      49         73         25        117        147         10
   67    0      67          5         25         73        103         10
   68    0      56         39         36        132        162         10
   69    0      37         47          6         40         70         10
   70    0      37         56          5        168        198         10
   71    0      57         68         15         67         97         10
   72    1      47         16         25         25         55         10
   73    0      44         17          9         68         98         10
   74    1      46         13          8        139        169         10
   75    0      49         11         18         59         89         10
   76    1      49         42         13         63         93         10
   77    0      53         43         14        169        199         10
   78    0      61         52          3         86        116         10
   79    1      57         48         23         82        112         10
   80    0      56         37          6        168        198         10
   81    1      55         54         26         84        114         10
   82    0      15         47         16         45         75         10
   83    1      14         37         11         34         64         10
   84    1      11         31          7         91        121         10
   85    1      16         22         41         81        111         10
   86    0       4         18         35         84        114         10
   87    0      28         18         26         83        113         10
   88    0      26         52          9         64         94         10
   89    1      26         35         15        166        196         10
   90    0      31         67          3         85        115         10
   91    0      15         19          1        150        180         10
   92    1      22         22          2         18         48         10
   93    1      18         24         22        169        199         10
   94    0      26         27         27         90        120         10
   95    0      25         24         20         29         59         10
   96    1      22         27         11        125        155         10
   97    0      25         21         12        123        153         10
   98    0      19         21         10         48         78         10
   99    0      20         26          9         73        103         10
  100    0      18         18         17        165        195         10


